['Nome', 'Partido', 'Número']
['Dr João Leite', 'PP', 1154]
['Dr Joaquim Raposo', 'Podemos', 1929]
['Dr Jorge', 'Patriota', 5127]
['Dr Jorginho Abissamra', 'PSB', 4013]
['Dr Kuramoto', 'PSDB', 4525]
['Dr Marcelo Barrichello', 'PSD', 5581]
['Dr Marcelo Morickochi', 'PP', 1182]
['Dr Maurício Soares', 'PL', 2268]
['Dr Minoru', 'Republicanos', 1025]
['Dr Nevton Oliveira Rocha', 'Podemos', 1945]
['Dr Nilton Candido', 'PSB', 4066]
['Dr Orlando Costa Dias', 'PSC', 2021]
['Dr Paulo de Tarso', 'Avante', 7032]
['Dr Paulo Purkyt', 'DC', 2789]
['Dr Raphael O Dr. Previdencia', 'PP', 1191]
['Dr Renato Meneguelo', 'MDB', 1506]
['Dr Renato Silva do HB', 'Patriota', 5100]
['Dr Ricardo', 'PSD', 5521]
['Dr Ricardo Yoshio', 'Solidariedade', 7733]
['Dr Rodrigues', 'PP', 1109]
['Dr Roger Lin', 'Podemos', 1944]
['Dr Rui', 'MDB', 1553]
['Dr Sinésio', 'PP', 1134]
['Dr Tassio Renam', 'PROS', 9096]
['Dr Tioki Ogusuka', 'Patriota', 5121]
['Dr Vinicius Rodrigues', 'PL', 2242]
['Dr. Beto Cacciari', 'PL', 2267]
['Dr. Cleber Bernardi', 'Podemos', 1965]
['Dr. Davi Rufato', 'PSC', 2044]
['Dr. Douglas Koga', 'Novo', 3070]
['Dr. Elias', 'União', 4408]
['Dr. Fabio Siqueira', 'Republicanos', 1052]
['Dr. Hermes Nery', 'PRTB', 2880]
['Dr. Jaques', 'PT', 1344]
['Dr. João Naves', 'PSDB', 4569]
['Dr. Leandro', 'Republicanos', 1007]
['Dr. Lindoso', 'PSC', 2010]
['Dr. Lucílio', 'PSOL', 5025]
['Dr. Paulo Cesar O PC', 'Republicanos', 1054]
['Dr. Paulo Serra', 'Republicanos', 1030]
['Dr. Renato Koga', 'PRTB', 2870]
['Dr. Sinval Malheiros', 'Patriota', 5111]
['Dr. Walter Aguiar', 'AGIR', 3616]
['Dra Carol Takayama', 'PP', 1120]
['Dra Cléo de Oliveira', 'PL', 2224]
['Dra Eliana Galvão', 'PRTB', 2850]
['Dra Elisa', 'Avante', 7022]
['Dra Elza Galvão', 'União', 4451]
['Dra Francisca', 'Avante', 7074]
['Dra Iris', 'AGIR', 3637]
['Dra Josi Dentista', 'PP', 1115]
['Dra Lia Sousa', 'PRTB', 2865]
['Dra Lores', 'Avante', 7029]
['Dra Lyssa Cartier', 'PL', 2289]
['Dra Ma Paula Ginecologista', 'AGIR', 3683]
['Dra Nayara Miranda', 'PROS', 9078]
['Dra Nice Mendes', 'PROS', 9037]
['Dra Nise Yamaguchi', 'PROS', 9022]
['Dra Samira', 'PL', 2298]
['Dra Sandra Tadeu', 'União', 4422]
['Dra Sirlene', 'Solidariedade', 7798]
['Dra. Elaine Amorim', 'PSC', 2026]
['Dra. Herica', 'PSC', 2012]
['Dra. Lee', 'PMB', 3511]
['Dra. Maria Emilia Gadelha', 'PRTB', 2800]
['Dra. Patricia Marçal', 'Solidariedade', 7751]
['Dra. Rosa Ablas', 'Podemos', 1927]
['Dra. Silvia Dentista', 'PRTB', 2816]
['Dra. Taryk Agio Veterinária', 'Solidariedade', 7705]
['Duarte da Brasilândia', 'PSTU', 1630]
['Duda', 'AGIR', 3635]
['Dudu Sivinski', 'Avante', 7040]
['Durval Orlato', 'PROS', 9055]
['Dyego Sérvolo', 'PSOL', 5075]
['Eclair Pires', 'PSB', 4058]
['Eder Mascarenhas', 'AGIR', 3675]
['Eder Soldera', 'AGIR', 3669]
['Eder Viterbo', 'DC', 2726]
['Edicarlos Vieira', 'PP', 1199]
['Edijota', 'PROS', 9029]
['Edilson Pacheco', 'PSC', 2032]
['Edimarco Silva', 'PROS', 9088]
['Edinaldo do Carmo', 'PMN', 3345]
['Edinho Filho', 'MDB', 1502]
['Edinho Santana', 'PSB', 4060]
['Edison Furmiga', 'Patriota', 5161]
['Edivaldo Castro Branco', 'PMB', 3530]
['Edivaldo Correia', 'DC', 2744]
['Edmilson Feitosa', 'MDB', 1575]
['Edna Penha', 'PSB', 4021]
['Edson Jaspion', 'Solidariedade', 7706]
['Edson Moura', 'PSD', 5551]
['Edu Avallone', 'Podemos', 1900]
['Eduardo Bolsonaro', 'PL', 2222]
['Eduardo Codorna', 'Solidariedade', 7717]
['Eduardo Cunha', 'PTB', 1477]
['Eduardo Cury', 'PSDB', 4515]
['Eduardo Real', 'PCB', 2111]
['Eduardo Santos', 'Patriota', 5125]
['Eduardo Vidal', 'Podemos', 1950]
['Edvaldo Brito', 'Avante', 7010]
['Edvaldo Ranzani', 'AGIR', 3625]
['Elaine Gomes', 'Republicanos', 1098]
['Elaine Neves', 'MDB', 1544]
